Title,Sale price,Bedrooms,Bathrooms,Area,Zestimate,Type,Year built,Heating,Cooling,Parking,HOA / Lot,Sunscore,Monthly cost,Principal & interest,Property taxes,Home insurance,HOA fee
"201 Cottsford Dr SW, Atlanta, GA 30331","$194,000 ",3 bds,2 ba,"1,451 sqft","$189,674 ",Condo,2001,Forced air,Central,Attached Garage,$260/month,Good solar potentialSun Number™: 67.41,"$1,233 ",$732/mo,$173/mo,$68/mo,$260/mo
"38 Belmonte Cir SW, Atlanta, GA 30311","$75,000 ",2 bds,3 ba,"2,045 sqft",,Condo,1986,Forced air,Central,No Data,$23/month,Great solar potentialSun Number™: 79.42,$424 ,$308/mo,$67/mo,$26/mo,$23/mo
"620 Peachtree St NE APT 1204, Atlanta, GA 30308","$289,900 ",3 bds,2 ba,"1,344 sqft","$286,407 ",Condo,1965,Forced air,Central,2 spaces,$860/month,,"$2,284 ","$1,064/mo",$258/mo,$101/mo,$860/mo
"943 Peachtree St NE UNIT 1215, Atlanta, GA 30309","$277,900 ",1 bd,1 ba,768 sqft,"$273,359 ",Condo,2002,Forced air,Central,Attached Garage,$358/month,,"$1,723 ","$1,020/mo",$248/mo,$97/mo,$358/mo
"75 14th St NE UNIT 4840, Atlanta, GA 30309","$1,695,000 ",3 bds,4 ba,"2,773 sqft","$1,636,802 ",Condo,1992,Forced air,Central,Attached Garage,$130/month,,"$8,836 ","$6,602/mo","$1,511/mo",$593/mo,$130/mo
"311 Peachtree Hills Ave NE APT 15C, Atlanta, GA 30305","$199,900 ",2 bds,1 ba,"1,020 sqft","$196,057 ",Condo,1960,Forced air,Central,2 spaces,$350/month,,"$1,368 ",$769/mo,$178/mo,$70/mo,$350/mo
"955 Juniper St NE UNIT 3125, Atlanta, GA 30309","$275,000 ",2 bds,1 ba,"1,031 sqft","$269,020 ",Condo,1996,"Forced air, Heat pump",Central,2 spaces,$310/month,,"$1,661 ","$1,009/mo",$245/mo,$96/mo,$310/mo
"15 Gould St SE, Atlanta, GA 30315","$99,000 ",5 bds,2 ba,"1,492 sqft",,Multi Family,1920,Other,Other,Off street,$66 ,Great solar potentialSun Number™: 86.63,$530 ,$407/mo,$88/mo,$35/mo,$0/mo
"20 Marietta St NW # 15B, Atlanta, GA 30303","$194,900 ",2 bds,2 ba,"1,156 sqft","$189,902 ",Condo,1995,Other,Central,None,$590/month,,"$1,582 ",$750/mo,$174/mo,$68/mo,$590/mo
"195 14th St NE UNIT 901, Atlanta, GA 30309","$219,000 ",1 bd,1 ba,627 sqft,"$215,467 ",Condo,2002,Forced air,Central,1 space,$315/month,,"$1,430 ",$843/mo,$195/mo,$77/mo,$315/mo
"3445 Stratford Rd NE APT 307, Atlanta, GA 30326","$379,900 ",4 bds,4 ba,"1,363 sqft","$370,671 ",Condo,2006,Forced air,Central,2 spaces,$584/month,,"$2,450 ","$1,394/mo",$339/mo,$133/mo,$584/mo
"954 Joseph E Boone Blvd NW, Atlanta, GA 30314","$165,000 ",5 bds,4 ba,"2,290 sqft","$136,640 ",Multi Family,1930,Forced air,Central,4 spaces,$72 ,Good solar potentialSun Number™: 62.62,$840 ,$635/mo,$147/mo,$58/mo,$0/mo
"88 W Paces Ferry Rd NW UNIT 2630, Atlanta, GA 30305","$15,995,000 ",5 bds,6.5 ba,"9,825 sqft",,Condo,2011,Heat pump,Central,No Data,No Data,,"$82,293 ","$62,433/mo","$14,262/mo","$5,598/mo",$0/mo
"620 Peachtree St NE APT 413, Atlanta, GA 30308","$200,000 ",2 bds,2 ba,"1,288 sqft",,Condo,1965,Forced air,Central,1 space,$826/month,,"$1,844 ",$770/mo,$178/mo,$70/mo,$826/mo
"1072 Piedmont Ave NE APT 101, Atlanta, GA 30309","$375,000 ",2 bds,2 ba,"1,182 sqft","$369,642 ",Condo,1982,No Data,No Data,4 spaces,$305/month,,"$2,147 ","$1,376/mo",$334/mo,$131/mo,$305/mo
"1445 Monroe Dr NE APT F36, Atlanta, GA 30324","$250,000 ",2 bds,2 ba,"1,060 sqft","$243,978 ",Condo,1975,No Data,No Data,2 spaces,$297/month,,"$1,570 ",$962/mo,$223/mo,$88/mo,$297/mo
"675 Greenwood Ave NE APT 105, Atlanta, GA 30306","$720,000 ",2 bds,3 ba,"1,813 sqft","$704,355 ",Condo,1925,Forced air,Central,2 spaces,$424/month,,"$4,128 ","$2,810/mo",$642/mo,$252/mo,$424/mo
"1280 W Peachtree St NW APT 3401, Atlanta, GA 30309","$129,900 ",1 bd,1 ba,457 sqft,"$128,263 ",Condo,1989,Other,Central,4 spaces,$229/month,,$890 ,$500/mo,$116/mo,$45/mo,$229/mo
"3660 Peachtree Rd NE APT E4, Atlanta, GA 30319","$199,000 ",2 bds,2 ba,"1,200 sqft","$221,023 ",Condo,1955,Forced air,Other,1 space,$355/month,,"$1,368 ",$766/mo,$177/mo,$70/mo,$355/mo
"2657 Lenox Rd NE, Atlanta, GA 30324","$205,000 ",2 bds,2 ba,949 sqft,"$197,545 ",Condo,1994,Forced air,Central,1 space,$298/month,,"$1,342 ",$789/mo,$183/mo,$72/mo,$298/mo
"38 Belmonte Cir SW, Atlanta, GA 30311","$75,000 ",2 bds,3 ba,"2,045 sqft",,Condo,1986,Forced air,Central,No Data,$23/month,Great solar potentialSun Number™: 79.42,$424 ,$308/mo,$67/mo,$26/mo,$23/mo
"890 Memorial Dr SE UNIT 102, Atlanta, GA 30316","$350,000 ",2 bds,2 ba,"1,037 sqft","$346,491 ",Condo,2008,Forced air,Central,No Data,No Data,,"$1,719 ","$1,285/mo",$312/mo,$123/mo,$0/mo
"1705 Monroe Dr NE APT A06, Atlanta, GA 30324","$75,000 ",2 bds,1 ba,900 sqft,,Condo,1958,No Data,No Data,1 space,$900/month,,"$1,301 ",$308/mo,$67/mo,$26/mo,$900/mo
"3445 Stratford Rd NE APT 303, Atlanta, GA 30326","$311,900 ",1 bd,1 ba,"1,303 sqft","$305,133 ",Condo,2006,Forced air,Central,1 space,$556/month,,"$2,088 ","$1,145/mo",$278/mo,$109/mo,$556/mo
"3777 Peachtree Rd NE APT 534, Brookhaven, GA 30319","$289,900 ",3 bds,2 ba,"1,402 sqft","$284,000 ",Condo,1996,"Forced air, Heat pump",Central,2 spaces,$592/month,,"$2,016 ","$1,064/mo",$258/mo,$101/mo,$592/mo
"620 Peachtree St NE APT 416, Atlanta, GA 30308","$129,900 ",1 bd,1 ba,655 sqft,,Condo,1965,Forced air,Central,1 space,$509/month,,"$1,170 ",$500/mo,$116/mo,$45/mo,$509/mo
"20 Marietta St NW APT 6B, Atlanta, GA 30303","$179,000 ",2 bds,2 ba,"1,156 sqft","$175,730 ",Condo,1995,Forced air,Central,2 spaces,$549/month,,"$1,460 ",$689/mo,$160/mo,$63/mo,$549/mo
"1109 Pine Heights Dr NE, Atlanta, GA 30324","$214,900 ",2 bds,2 ba,"1,510 sqft","$209,367 ",Condo,1986,Forced air,Central,Attached Garage,$42/month,Great solar potentialSun Number™: 92.21,"$1,136 ",$827/mo,$192/mo,$75/mo,$42/mo
"1213 Allene Ave SW APT 110, Atlanta, GA 30310","$295,000 ",2 bds,2 ba,"1,351 sqft",,Condo,2005,Forced air,Central,No Data,No Data,,"$1,449 ","$1,083/mo",$263/mo,$103/mo,$0/mo
"1253 Caroline St NE APT 228, Atlanta, GA 30307","$310,000 ",2 bds,2 ba,"1,344 sqft","$304,100 ",Condo,2006,Forced air,Central,2 spaces,$313/month,,"$1,846 ","$1,138/mo",$287/mo,$109/mo,$313/mo
"1836 Gordon Mnr NE, Atlanta, GA 30307","$275,000 ",1 bd,2 ba,"1,050 sqft","$263,653 ",Condo,2005,Forced air,Central,No Data,$311/month,Great solar potentialSun Number™: 81.83,"$1,671 ","$1,009/mo",$254/mo,$96/mo,$311/mo
"120 Ralph Mcgill Blvd NE APT 1309, Atlanta, GA 30308","$189,900 ",1 bd,1 ba,813 sqft,"$186,540 ",Condo,1974,Forced air,Central,2 spaces,$402/month,,"$1,369 ",$731/mo,$169/mo,$66/mo,$402/mo
"390 17th St NW UNIT 4068, Atlanta, GA 30363","$345,000 ",3 bds,3 ba,"1,596 sqft","$337,580 ",Condo,2007,Forced air,Central,6 spaces,$818/month,,"$2,513 ","$1,266/mo",$308/mo,$121/mo,$818/mo
"384 Ralph Mcgill Blvd NE UNIT 106, Atlanta, GA 30312","$270,000 ",2 bds,2 ba,"1,062 sqft","$264,809 ",Condo,2006,Forced air,Central,No Data,$456/month,,"$1,782 ",$991/mo,$241/mo,$95/mo,$456/mo
"868 Rosedale Rd NE # 868, Atlanta, GA 30306","$749,000 ",3 bds,3 ba,"2,650 sqft",,Condo,2002,Forced air,Central,Attached Garage,No Data,,"$3,854 ","$2,924/mo",$668/mo,$262/mo,$0/mo
"215 Piedmont Ave NE APT 1409, Atlanta, GA 30308","$165,000 ",2 bds,1 ba,"1,020 sqft","$159,702 ",Condo,1963,Forced air,Central,No Data,$718/month,,"$1,558 ",$635/mo,$147/mo,$58/mo,$718/mo
"195 Arizona Ave NE UNIT 148, Atlanta, GA 30307","$272,000 ",1 bd,2 ba,"1,354 sqft","$259,453 ",Condo,2003,Other,Central,1 space,$228/month,Great solar potentialSun Number™: 85.03,"$1,573 ",$998/mo,$252/mo,$95/mo,$228/mo
"384 Ralph Mcgill Blvd NE UNIT 105, Atlanta, GA 30312","$275,000 ",2 bds,2 ba,"1,088 sqft","$267,142 ",Condo,2006,Forced air,Central,1 space,$465/month,,"$1,816 ","$1,009/mo",$245/mo,$96/mo,$465/mo
"620 Peachtree St NE APT 701, Atlanta, GA 30308","$144,900 ",1 bd,1 ba,655 sqft,"$141,399 ",Condo,1965,Forced air,Central,1 space,$501/month,,"$1,239 ",$558/mo,$129/mo,$51/mo,$501/mo
"3630 Peachtree Rd NE UNIT 3302, Atlanta, GA 30326","$3,875,000 ",4 bds,4 ba,"4,500 sqft","$3,727,754 ",Condo,2010,Forced air,Central,3 spaces,"$3,568/month",,"$23,505 ","$15,125/mo","$3,455/mo","$1,356/mo","$3,568/mo"
"860 Peachtree St NE UNIT 1301, Atlanta, GA 30308","$859,900 ",3 bds,3 ba,"1,875 sqft","$837,709 ",Condo,2005,No Data,Central,3 spaces,No Data,,"$4,424 ","$3,356/mo",$767/mo,$301/mo,$0/mo
"115 Biscayne Dr NW APT F3, Atlanta, GA 30309","$240,000 ",3 bds,2 ba,"1,298 sqft","$233,631 ",Condo,1964,Forced air,Central,2 spaces,$485/month,,"$1,707 ",$924/mo,$214/mo,$84/mo,$485/mo
"88 La Rue Pl NW, Atlanta, GA 30327","$199,900 ",2 bds,2 ba,"1,200 sqft","$194,844 ",Condo,1968,Forced air,Central,2 spaces,$418/month,Candidate for a community solar programSun Number™: 20.21,"$1,436 ",$769/mo,$178/mo,$70/mo,$418/mo
"20 Marietta St NW APT 8E, Atlanta, GA 30303","$114,995 ",1 bd,1 ba,590 sqft,"$112,824 ",Condo,1995,"Forced air, Heat pump",Central,No Data,$377/month,,$992 ,$473/mo,$103/mo,$40/mo,$377/mo
"1661 La France St NE UNIT 401, Atlanta, GA 30307","$345,000 ",2 bds,2 ba,"1,368 sqft","$329,319 ",Condo,2004,Forced air,Central,2 spaces,$312/month,,"$2,018 ","$1,266/mo",$319/mo,$121/mo,$312/mo
"2657 Lenox Rd NE APT 179, Atlanta, GA 30324","$195,000 ",2 bds,2 ba,964 sqft,"$194,531 ",Condo,1994,Forced air,Central,Off street,$300/month,,"$1,293 ",$751/mo,$174/mo,$68/mo,$300/mo
"250 Pharr Rd NE APT 1601, Atlanta, GA 30305","$375,000 ",2 bds,2 ba,"1,060 sqft","$366,818 ",Condo,2004,Forced air,Central,4 spaces,$431/month,,"$2,273 ","$1,376/mo",$334/mo,$131/mo,$431/mo
"855 Peachtree St NE UNIT 601, Atlanta, GA 30308","$360,000 ",1 bd,1 ba,885 sqft,,Condo,2008,Forced air,Central,Attached Garage,"$3,564/month",,"$5,332 ","$1,321/mo",$321/mo,$126/mo,"$3,564/mo"
"57 Forsyth St NW APT 13C, Atlanta, GA 30303","$174,000 ",1 bd,1 ba,860 sqft,"$173,359 ",Condo,1913,Forced air,Central,No Data,$507/month,,"$1,393 ",$670/mo,$155/mo,$61/mo,$507/mo
"1101 Juniper St NE APT 423, Atlanta, GA 30309","$379,900 ",2 bds,2 ba,"1,169 sqft","$372,597 ",Condo,1999,Forced air,Central,4 spaces,$433/month,,"$2,299 ","$1,394/mo",$339/mo,$133/mo,$433/mo
"3260 Ferncliff Ln, Atlanta, GA 30324","$479,900 ",3 bds,4 ba,"1,912 sqft","$468,811 ",Condo,2012,Forced air,Central,2 spaces,$275/month,Great solar potentialSun Number™: 89.01,"$2,632 ","$1,761/mo",$428/mo,$168/mo,$275/mo
"89 Mangum St SW UNIT 309, Atlanta, GA 30313","$238,000 ",2 bds,2 ba,"1,250 sqft","$233,442 ",Condo,2005,Forced air,Central,No Data,$284/month,"{""targetDiv"":""gpt-ad-879781a9-c6e5-4e2d-af74-7ee0b8c77af2"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 309"",""aamgnrc1"":""89 Mangum St SW"",""bd"":""2"",""fsbid"":""13803"",""city"":""Atlanta"",""proptp"":""cnd"",""pid"":""71755107"",""lot"":""1"",""zestibuck"":""200-249k"",""listtp"":""buy_agent"",""zguidh"":""5264294841308568454"",""sqftrange"":""1000-1499"",""price"":""238000"",""sqft"":""1250"",""posting_url"":"""",""mlong"":""-84.400215"",""state"":""GA"",""prange"":""200-249k"",""zip"":""30313"",""mlat"":""33.752085"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbhnmxjjp5mvh0000000000.jpg"",""zusr"":""true"",""price_band"":""z200"",""hood"":""Castleberry_Hill"",""yrblt"":""2000-2009"",""zestimate"":""233442"",""premieragent"":""no""}}","$1,496 ",$916/mo,$212/mo,$83/mo,$284/mo
"195 14th St NE UNIT 1602, Atlanta, GA 30309","$500,000 ",2 bds,3 ba,"1,345 sqft","$489,391 ",Condo,2002,"Heat pump, Other",Other,4 spaces,$651/month,,"$3,107 ","$1,835/mo",$446/mo,$175/mo,$651/mo
"301 Atlanta Ave SE APT 1, Atlanta, GA 30315","$175,000 ",2 bds,1 ba,736 sqft,"$171,506 ",Condo,1920,Forced air,Central,2 spaces,$300/month,,"$1,191 ",$674/mo,$156/mo,$61/mo,$300/mo
"77 Peachtree Pl NE UNIT 509, Atlanta, GA 30309","$869,900 ",2 bds,3 ba,"1,757 sqft","$853,177 ",Condo,2001,"Forced air, Heat pump",Central,4 spaces,"$1,018/month",,"$5,494 ","$3,395/mo",$776/mo,$304/mo,"$1,018/mo"
"800 Peachtree St NE APT 107, Atlanta, GA 30308","$249,000 ",1 bd,1 ba,891 sqft,,Condo,1927,Forced air,Central,No Data,No Data,,"$1,268 ",$958/mo,$222/mo,$87/mo,$0/mo
"384 Ralph Mcgill Blvd NE UNIT 101, Atlanta, GA 30312","$275,000 ",2 bds,2 ba,"1,062 sqft","$268,946 ",Condo,2006,Forced air,Central,No Data,$455/month,"{""targetDiv"":""gpt-ad-99c45881-21fd-4bfe-bb2d-bc6d760e447e"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 101"",""aamgnrc1"":""384 Ralph Mcgill Blvd NE"",""bd"":""2"",""fsbid"":""13803"",""city"":""Atlanta"",""proptp"":""cnd"",""pid"":""2082103183"",""zestibuck"":""250-299k"",""listtp"":""buy_agent"",""zguidh"":""-3710795540842501190"",""sqftrange"":""1000-1499"",""price"":""275000"",""sqft"":""1062"",""posting_url"":""http://chrismcguire.kwrealty.com"",""mlong"":""-84.375052"",""state"":""GA"",""prange"":""250-299k"",""zip"":""30312"",""mlat"":""33.764514"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/IS7qjeyctzn6eo1000000000.jpg"",""zusr"":""true"",""price_band"":""z200"",""hood"":""Old_Fourth_Ward"",""yrblt"":""2000-2009"",""zestimate"":""268946"",""premieragent"":""no""}}","$1,806 ","$1,009/mo",$245/mo,$96/mo,$455/mo
"20 Marietta St NW APT 8E, Atlanta, GA 30303","$114,995 ",1 bd,1 ba,590 sqft,"$112,824 ",Condo,1995,"Forced air, Heat pump",Central,No Data,$377/month,,$992 ,$473/mo,$103/mo,$40/mo,$377/mo
"24 Finch Trl NE, Atlanta, GA 30308","$219,899 ",2 bds,2 ba,"1,177 sqft","$214,785 ",Condo,1985,Forced air,Central,No Data,$329/month,Good solar potentialSun Number™: 69.83,"$1,448 ",$846/mo,$196/mo,$77/mo,$329/mo
"702 Argonne Ave NE APT 2, Atlanta, GA 30308","$187,000 ",2 bds,1 ba,667 sqft,"$178,371 ",Condo,1965,No Data,No Data,No Data,$330/month,,"$1,282 ",$720/mo,$167/mo,$65/mo,$330/mo
"943 Peachtree St NE UNIT 906, Atlanta, GA 30309","$439,900 ",2 bds,2 ba,"1,260 sqft","$474,812 ",Condo,2002,Forced air,Central,2 spaces,$588/month,,"$2,749 ","$1,615/mo",$392/mo,$154/mo,$588/mo
"1661 La France St NE UNIT 401, Atlanta, GA 30307","$345,000 ",2 bds,2 ba,"1,368 sqft","$329,319 ",Condo,2004,Forced air,Central,2 spaces,$312/month,,"$2,019 ","$1,267/mo",$319/mo,$121/mo,$312/mo
"1705 Monroe Dr NE APT E10, Atlanta, GA 30324","$89,000 ",1 bd,1 ba,861 sqft,"$84,743 ",Condo,1958,Forced air,Central,1 space,$900/month,,"$1,376 ",$366/mo,$79/mo,$31/mo,$900/mo
"384 Ralph Mcgill Blvd NE UNIT 106, Atlanta, GA 30312","$270,000 ",2 bds,2 ba,"1,062 sqft","$264,809 ",Condo,2006,Forced air,Central,No Data,$456/month,,"$1,783 ",$991/mo,$241/mo,$95/mo,$456/mo
"794 Ralph Mcgill Blvd NE UNIT 8, Atlanta, GA 30312","$395,000 ",2 bds,2 ba,"1,253 sqft","$386,902 ",Condo,1936,Forced air,Central,1 space,$353/month,,"$2,294 ","$1,450/mo",$352/mo,$138/mo,$353/mo
"943 Peachtree St NE UNIT 1415, Atlanta, GA 30309","$249,900 ",1 bd,1 ba,768 sqft,"$242,644 ",Condo,2002,No Data,No Data,1 space,$358/month,,"$1,630 ",$962/mo,$223/mo,$87/mo,$358/mo
"120 Peachtree Memorial Dr NW # 99-C1, Atlanta, GA","$294,900 ",2 bds,2 ba,827 sqft,,Condo,2019,Forced air,Central,No Data,No Data,,"$1,449 ","$1,083/mo",$263/mo,$103/mo,$0/mo
"301 10th St NE APT 12, Atlanta, GA 30309","$270,000 ",1 bd,1 ba,804 sqft,"$265,007 ",Condo,1930,Other,Other,1 space,$269/month,,"$1,596 ",$991/mo,$241/mo,$95/mo,$269/mo
"301 Atlanta Ave SE APT 1, Atlanta, GA 30315","$175,000 ",2 bds,1 ba,736 sqft,"$171,506 ",Condo,1920,Forced air,Central,2 spaces,$300/month,,"$1,191 ",$674/mo,$156/mo,$61/mo,$300/mo
"319 Lakemoore Dr NE APT B, Atlanta, GA 30342","$200,000 ",2 bds,2 ba,"1,168 sqft","$196,923 ",Condo,1952,Forced air,Central,2 spaces,No Data,,"$1,018 ",$770/mo,$178/mo,$70/mo,$0/mo
"855 Peachtree St NE UNIT 2608, Atlanta, GA 30308","$359,000 ",1 bd,1 ba,802 sqft,"$353,209 ",Condo,2008,Forced air,Central,Attached Garage,$384/month,,"$2,148 ","$1,318/mo",$320/mo,$126/mo,$384/mo
"401 10th St NW UNIT C208, Atlanta, GA 30318","$339,000 ",2 bds,3 ba,"2,701 sqft","$332,051 ",Condo,2001,Forced air,Central,2 spaces,$432/month,,"$2,098 ","$1,245/mo",$302/mo,$119/mo,$432/mo
"1705 Monroe Dr NE APT A6, Atlanta, GA 30324","$75,000 ",2 bds,1 ba,900 sqft,,Condo,1958,Forced air,Central,1 space,$900/month,"{""targetDiv"":""gpt-ad-26f05fbc-c1c3-4ad7-9acb-405faa77061b"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Apt A6"",""zip"":""30324"",""aamgnrc1"":""1705 Monroe Dr NE"",""mlat"":""33.801354"",""bd"":""2"",""fsbid"":""15050"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISj3ukkp181r2p0000000000.jpg"",""zusr"":""true"",""city"":""Atlanta"",""proptp"":""cnd"",""pid"":""2084772716"",""hood"":""Piedmont_Heights"",""yrblt"":""1940-1959"",""listtp"":""buy_agent"",""stale"":""yes"",""zguidh"":""-7262532944073575906"",""premieragent"":""no"",""sqftrange"":""500-999"",""price"":""75000"",""sqft"":""900"",""posting_url"":"""",""mlong"":""-84.371239"",""state"":""GA"",""prange"":""0-100k""}}","$1,301 ",$308/mo,$67/mo,$26/mo,$900/mo
"343 8th St NE APT A2, Atlanta, GA 30309","$259,000 ",2 bds,1 ba,810 sqft,"$252,936 ",Condo,2019,Forced air,Central,No Data,$18/month,,"$1,290 ",$951/mo,$231/mo,$91/mo,$18/mo
"31 Rockmart Dr NW, Atlanta, GA 30314","$89,000 ",Studio,#NAME?,768 sqft,"$85,214 ",Multi Family,1953,Forced air,Central,Detached Garage,$116 ,Candidate for a community solar programSun Number™: 20.22,$476 ,$366/mo,$79/mo,$31/mo,$0/mo
"1001 Chastain Park Ct NE, Atlanta, GA 30342","$215,000 ",2 bds,2 ba,913 sqft,"$211,557 ",Condo,1987,Forced air,Central,2 spaces,$357/month,Great solar potentialSun Number™: 91.41,"$1,451 ",$828/mo,$192/mo,$75/mo,$357/mo
"1101 Juniper St NE APT 1008, Atlanta, GA 30309","$240,000 ",1 bd,1 ba,723 sqft,"$236,571 ",Condo,1999,Forced air,Central,2 spaces,$296/month,,"$1,518 ",$924/mo,$214/mo,$84/mo,$296/mo
"640 Glen Iris Dr NE APT 610, Atlanta, GA 30308","$690,000 ",2 bds,2 ba,"2,432 sqft",,Condo,2002,Forced air,Central,2 spaces,$669/month,,"$4,220 ","$2,695/mo",$615/mo,$242/mo,$669/mo
"860 Peachtree St NE UNIT 1301, Atlanta, GA 30308","$859,900 ",3 bds,3 ba,"1,875 sqft","$837,709 ",Condo,2005,No Data,Central,3 spaces,No Data,,"$4,426 ","$3,358/mo",$767/mo,$301/mo,$0/mo
"57 Forsyth St NW APT 13C, Atlanta, GA 30303","$174,000 ",1 bd,1 ba,860 sqft,"$173,359 ",Condo,1913,Forced air,Central,No Data,$507/month,,"$1,393 ",$670/mo,$155/mo,$61/mo,$507/mo
"855 Peachtree St NE UNIT 601, Atlanta, GA 30308","$360,000 ",1 bd,1 ba,885 sqft,,Condo,2008,Forced air,Central,Attached Garage,"$3,564/month",,"$5,333 ","$1,322/mo",$321/mo,$126/mo,"$3,564/mo"
"170 Boulevard SE, Atlanta, GA 30312","$535,000 ",2 bds,2 ba,"1,855 sqft","$523,380 ",Condo,2007,Forced air,Central,1 space,$508/month,"{""targetDiv"":""gpt-ad-69578d6d-dd91-445a-b932-32b797f3975c"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc1"":""170 Boulevard SE"",""bd"":""2"",""fsbid"":""13803"",""city"":""Atlanta"",""proptp"":""cnd"",""pid"":""88811609"",""lot"":""1"",""zestibuck"":""500-599k"",""listtp"":""buy_agent"",""zguidh"":""3335751008863127864"",""sqftrange"":""1500-1999"",""price"":""535000"",""sqft"":""1855"",""posting_url"":"""",""mlong"":""-84.368792"",""state"":""GA"",""park"":""yes"",""prange"":""500-599k"",""zip"":""30312"",""mlat"":""33.751109"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISf8bu1isq92zw0000000000.jpg"",""zusr"":""true"",""price_band"":""z500"",""hood"":""Cabbagetown"",""yrblt"":""2000-2009"",""zestimate"":""523380"",""premieragent"":""no""}}","$3,137 ","$1,964/mo",$477/mo,$187/mo,$508/mo
"(undisclosed Address), Atlanta, GA 30313","$255,000 ",1 bd,1 ba,"1,200 sqft","$200,533 ",Condo,2019,No Data,No Data,1 space,$310/month,,"$1,563 ",$936/mo,$227/mo,$89/mo,$310/mo
"860 Peachtree St NE UNIT 2111, Atlanta, GA 30308","$279,900 ",1 bd,1 ba,745 sqft,"$273,476 ",Condo,2005,No Data,No Data,1 space,$356/month,,"$1,731 ","$1,028/mo",$250/mo,$98/mo,$356/mo
"89 Mangum St SW UNIT 309, Atlanta, GA 30313","$238,000 ",2 bds,2 ba,"1,250 sqft","$233,442 ",Condo,2005,Forced air,Central,No Data,$284/month,"{""targetDiv"":""gpt-ad-86ca3a1c-913c-4ad4-a291-f730ca9801e8"",""slot"":""zillow/property_details/buy_agent/rtt_main_p1"",""network"":""7449"",""sizes"":[""fluid""],""defer_ad"":true,""explicit_defer_ad"":false,""defer_target_frame"":false,""targets"":{""aamgnrc2"":""Unit 309"",""aamgnrc1"":""89 Mangum St SW"",""bd"":""2"",""fsbid"":""13803"",""city"":""Atlanta"",""proptp"":""cnd"",""pid"":""71755107"",""lot"":""1"",""zestibuck"":""200-249k"",""listtp"":""buy_agent"",""zguidh"":""3590852593757671274"",""sqftrange"":""1000-1499"",""price"":""238000"",""sqft"":""1250"",""posting_url"":"""",""mlong"":""-84.400215"",""state"":""GA"",""prange"":""200-249k"",""zip"":""30313"",""mlat"":""33.752085"",""z_listing_image_url"":""https://photos.zillowstatic.com/p_d/ISbhnmxjjp5mvh0000000000.jpg"",""zusr"":""true"",""price_band"":""z200"",""hood"":""Castleberry_Hill"",""yrblt"":""2000-2009"",""zestimate"":""233442"",""premieragent"":""no""}}","$1,496 ",$916/mo,$212/mo,$83/mo,$284/mo
"215 Piedmont Ave NE APT 206, Atlanta, GA 30308","$199,900 ",2 bds,2 ba,"1,256 sqft","$195,115 ",Condo,1963,Forced air,Central,No Data,No Data,,"$1,018 ",$769/mo,$178/mo,$70/mo,$0/mo
"199 12th St NE UNIT 7, Atlanta, GA 30309","$555,000 ",2 bds,2 ba,"1,653 sqft","$542,603 ",Condo,2003,"Forced air, Heat pump",Central,2 spaces,$278/month,,"$3,005 ","$2,038/mo",$495/mo,$194/mo,$278/mo
"88 W Paces Ferry Rd NW UNIT 1840, Atlanta, GA 30305","$5,700,000 ",3 bds,4 ba,"4,675 sqft",,Condo,2010,Forced air,Central,8 spaces,"$1,925/month",,"$31,262 ","$22,259/mo","$5,083/mo","$1,995/mo","$1,925/mo"
"115 Mcgill Park Ave NE, Atlanta, GA 30312","$220,000 ",1 bd,1 ba,"1,159 sqft","$218,385 ",Condo,1994,Forced air,Other,2 spaces,$315/month,Great solar potentialSun Number™: 77.03,"$1,435 ",$847/mo,$196/mo,$77/mo,$315/mo
"916 Myrtle St NE APT 2, Atlanta, GA 30309","$169,500 ",1 bd,1 ba,520 sqft,"$167,753 ",Condo,1919,Forced air,Central,1 space,$210/month,,"$1,073 ",$652/mo,$151/mo,$59/mo,$210/mo
"3660 Peachtree Rd NE, Atlanta, GA 30319","$222,000 ",2 bds,2 ba,"1,200 sqft","$217,945 ",Condo,1955,Forced air,Other,1 space,$335/month,Great solar potentialSun Number™: 73.81,"$1,465 ",$854/mo,$198/mo,$78/mo,$335/mo
